epoch,accuracy,loss,val_accuracy,val_loss
0,0.447550505399704,1.2372792959213257,0.5360230803489685,1.1242254972457886
1,0.637973964214325,0.8933976888656616,0.5619596838951111,1.0834563970565796
2,0.7132576704025269,0.7187774181365967,0.5763688683509827,1.1440956592559814
3,0.7758095860481262,0.5896885991096497,0.5706051588058472,1.126415729522705
4,0.8032106161117554,0.5087982416152954,0.5677233338356018,1.237713098526001
5,0.8530307412147522,0.40820202231407166,0.5561959743499756,1.4010547399520874
6,0.8760033249855042,0.3346780836582184,0.590778112411499,1.3676471710205078
7,0.9094935059547424,0.2654542624950409,0.5763688683509827,1.477868914604187
8,0.921394944190979,0.22294504940509796,0.5878962278366089,1.5421339273452759
9,0.9277608394622803,0.2115335911512375,0.5504322648048401,1.8350841999053955
10,0.9429836869239807,0.1692652404308319,0.5619596838951111,1.8730435371398926
11,0.9429836869239807,0.1607869416475296,0.5475504398345947,1.89398193359375
12,0.9535012245178223,0.14147907495498657,0.5648415088653564,2.057758092880249
13,0.9546083807945251,0.13703356683254242,0.5648415088653564,2.0309715270996094
14,0.9620813727378845,0.10731213539838791,0.559077799320221,2.179776668548584
15,0.9595903754234314,0.13126955926418304,0.5706051588058472,2.138605833053589
16,0.9535012245178223,0.13353048264980316,0.5475504398345947,2.235816240310669
17,0.9695543646812439,0.09343640506267548,0.5244956612586975,2.218691110610962
18,0.9678937196731567,0.09314242750406265,0.5561959743499756,2.413212776184082
19,0.9645723700523376,0.09879302978515625,0.5504322648048401,2.4216206073760986
20,0.9709382653236389,0.08958223462104797,0.5734870433807373,2.437248468399048
21,0.9678937196731567,0.09696128964424133,0.5619596838951111,2.568957805633545
22,0.9665098190307617,0.08941897749900818,0.559077799320221,2.6123363971710205
23,0.9731525182723999,0.07571949809789658,0.5360230803489685,2.629380226135254
24,0.9590368270874023,0.11847752332687378,0.5648415088653564,2.4322893619537354
