epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3243061304092407,0.4121037423610687,1.281606674194336
1,0.6340990662574768,0.9813888669013977,0.6743515729904175,0.9154861569404602
2,0.7924162745475769,0.571932315826416,0.7089337110519409,0.7649146318435669
3,0.8541378378868103,0.39996662735939026,0.7118155360221863,0.7689967751502991
4,0.8876280188560486,0.3127875328063965,0.7118155360221863,0.8180410861968994
5,0.9136451482772827,0.2512809932231903,0.7060518860816956,0.8307430148124695
6,0.9324660897254944,0.20697765052318573,0.6974063515663147,0.9122698903083801
7,0.9443675875663757,0.17507044970989227,0.7002881765365601,0.9334463477134705
8,0.9548851251602173,0.14983639121055603,0.6887608170509338,0.9958633184432983
9,0.9623581767082214,0.12979985773563385,0.6858789920806885,1.050027847290039
10,0.9676169157028198,0.1179768294095993,0.7089337110519409,1.0778132677078247
11,0.9678937196731567,0.11080656200647354,0.6858789920806885,1.1510004997253418
12,0.9692776203155518,0.098715640604496,0.6916426420211792,1.1778291463851929
13,0.973429262638092,0.09185153245925903,0.7060518860816956,1.1939115524291992
14,0.9761970639228821,0.07951292395591736,0.7002881765365601,1.2294597625732422
15,0.973429262638092,0.08108126372098923,0.7031700015068054,1.2634923458099365
16,0.972875714302063,0.0838417187333107,0.6858789920806885,1.2667492628097534
17,0.9717686176300049,0.07737516611814499,0.6916426420211792,1.2994205951690674
18,0.9753667116165161,0.0728369951248169,0.6887608170509338,1.3414406776428223
19,0.976473867893219,0.07077611982822418,0.6887608170509338,1.3420476913452148
20,0.9773041605949402,0.06400397419929504,0.7002881765365601,1.355948805809021
21,0.977027416229248,0.06448277086019516,0.7089337110519409,1.3749462366104126
22,0.9773041605949402,0.05853356793522835,0.6829971075057983,1.4243879318237305
23,0.9775809645652771,0.056800320744514465,0.6772334575653076,1.4517104625701904
24,0.9784113168716431,0.0611816868185997,0.6714697480201721,1.465705394744873
